sa2_code,sa2_name,0-4_people,5-9_people,10-14_people,15-19_people,20-24_people,25-29_people,30-34_people,35-39_people,40-44_people,45-49_people,50-54_people,55-59_people,60-64_people,65-69_people,70-74_people,75-79_people,80-84_people,85-and-over_people,total_people
102021048,Gorokan - Kanwal - Charmhaven,1348,1261,1317,1350,1383,1498,1339,1233,1173,1296,1383,1449,1417,1354,1225,986,742,831,22585
102021049,Jilliby - Yarramalong,142,233,248,274,208,127,147,172,214,273,278,280,271,210,169,101,59,22,3428
102021050,Lake Munmorah - Mannering Park,512,548,584,544,502,550,496,545,455,496,657,723,770,850,971,884,555,365,11007
102021051,Ourimbah - Fountaindale,269,289,349,348,315,286,289,315,311,337,379,384,352,261,190,136,63,68,4941
102021052,Summerland Point - Gwandalan,360,392,411,378,344,353,340,359,341,444,447,454,456,401,459,290,167,122,6518
102021053,The Entrance,780,738,766,751,849,829,908,927,875,1008,1034,1180,1130,1239,1131,761,527,501,15934
102021054,Toukley - Norah Head,561,540,540,471,508,584,526,542,487,561,603,652,704,669,664,527,390,439,9968
102021055,Tuggerah - Kangy Angy,313,363,379,380,364,286,364,330,328,359,358,338,291,241,212,158,117,79,5260
102021056,Warnervale - Wadalba,1514,1580,1779,1544,1215,1202,1291,1490,1443,1395,1138,963,767,740,733,598,409,409,20210
102021057,Wyong,569,544,585,603,590,643,530,519,558,575,631,610,573,491,476,344,197,155,9193
115011290,Baulkham Hills - East,1610,2121,1751,1371,1145,1051,1556,2341,2177,1835,1513,1317,1067,1009,1055,806,575,553,24853
115011291,Baulkham Hills (West) - Bella Vista,1031,1535,1594,1397,1431,1115,1047,1545,1716,1528,1479,1488,1353,1217,1104,609,362,241,21792
115011294,Glenhaven,203,400,492,477,371,201,185,243,396,406,449,421,390,376,352,381,298,327,6368
115011296,West Pennant Hills,567,789,872,837,834,529,540,756,786,813,839,1001,997,1007,733,426,205,167,12698
115011553,Castle Hill - Central,398,610,638,478,419,301,417,632,701,645,465,390,374,357,375,247,137,101,7685
115011554,Castle Hill - East,149,272,395,320,290,195,148,198,326,309,351,360,338,248,255,302,372,845,5673
115011555,Castle Hill - North,525,802,1005,922,699,459,469,719,902,955,859,801,756,792,670,455,240,184,12214
115011556,Castle Hill - South,514,742,811,643,617,482,605,831,857,779,656,595,569,550,470,349,209,157,10436
115011557,Castle Hill - West,238,330,435,414,368,228,214,328,376,408,430,386,347,253,224,124,53,42,5198
115011558,Cherrybrook,732,1250,1598,1486,1118,683,721,1127,1456,1453,1362,1362,1275,1113,904,596,391,508,19135
115011621,Kellyville - East,961,1339,1514,1518,1196,730,822,1281,1495,1508,1326,1091,885,746,567,426,214,129,17748
115011622,Kellyville - West,760,942,781,672,738,664,760,1101,1028,792,645,501,467,401,361,304,225,275,11417
115021297,Dural - Kenthurst - Wisemans Ferry,979,1398,1758,1720,1453,1000,816,1082,1331,1722,1780,1680,1425,1199,1213,896,591,543,22586
115021298,Galston - Laughtondale,234,309,400,407,262,238,226,252,291,386,407,408,391,315,295,253,175,189,5438
115031299,Bilpin - Colo - St Albans,136,139,175,154,131,110,134,142,160,248,223,280,240,173,183,137,61,28,2854
115031300,Kurrajong Heights - Ebenezer,1349,1455,1559,1574,1406,1258,1338,1281,1277,1571,1723,1603,1534,1152,974,648,332,262,22296
115041301,Pitt Town - McGraths Hill,695,813,916,815,715,567,627,726,732,860,823,724,671,556,512,360,200,138,11450
115041623,Box Hill - Nelson,1161,1041,763,468,490,784,1182,1336,933,579,427,282,307,245,179,102,26,25,10330
115041624,North Kellyville,1637,1728,1493,1050,957,990,1502,2029,1728,1224,843,644,532,408,330,178,106,107,17486
115041625,Rouse Hill - Beaumont Hills,994,1390,1570,1599,1224,736,845,1403,1492,1687,1403,1026,760,568,411,275,153,73,17609
116011303,Blacktown (East) - Kings Park,1310,1028,840,730,1436,1824,1850,1755,1241,911,780,767,681,647,504,349,248,281,17182
116011304,Blacktown (North) - Marayong,1555,1430,1266,1105,1543,1798,1808,1836,1438,1161,1005,1072,927,902,798,455,306,336,20741
116011306,Doonside - Woodcroft,1484,1583,1696,1507,1655,1701,1652,1929,1656,1573,1484,1388,1358,1100,884,491,245,217,23603
116011307,Lalor Park - Kings Langley,1644,1816,1627,1468,1599,1516,1772,2007,1905,1697,1599,1481,1459,1323,1109,665,426,452,25565
116011560,Blacktown - South,798,911,904,767,888,939,893,1099,898,797,756,768,616,528,411,304,258,148,12683
116011561,Blacktown - West,1221,1094,981,965,1405,1504,1441,1327,1149,978,1008,935,840,647,517,428,346,452,17238
116011626,Seven Hills - Prospect,955,831,889,883,1029,1137,1217,1174,1029,978,848,866,855,720,640,443,250,179,14923
116011627,Toongabbie - West,883,834,727,585,724,955,1023,1214,932,670,599,520,513,422,424,303,171,124,11623
116021309,Glenwood,824,1158,1375,1270,1174,776,803,1205,1485,1308,1204,975,769,566,476,283,148,71,15870
116021562,Acacia Gardens,248,299,274,241,221,204,295,338,325,278,232,230,179,119,113,48,28,9,3681
116021563,Quakers Hill,1944,2111,1771,1472,1587,1699,2033,2574,2017,1657,1414,1268,1078,864,659,336,202,184,24870
116021628,Kellyville Ridge - The Ponds,1508,2164,2066,1511,1070,829,1184,2205,2328,1924,1239,831,602,577,475,342,171,176,21202
116021629,Marsden Park - Shanes Park,1832,1730,1130,658,663,1125,1900,2414,1448,753,442,384,359,327,241,129,81,20,15636
116021630,Riverstone,1462,1088,906,765,914,1247,1492,1369,992,795,699,586,506,388,307,195,111,83,13905
116021631,Schofields (West) - Colebee,1047,964,704,546,573,578,1111,1389,917,593,461,380,309,210,147,70,37,17,10053
116021632,Schofields - East,2576,2576,1982,1268,1547,1941,2988,3664,2549,1358,790,623,533,406,279,128,52,54,25314
116021633,Stanhope Gardens - Parklea,760,919,1019,905,832,794,940,1319,1290,1132,783,704,510,449,363,177,158,47,13101
116031313,Bidwill - Hebersham - Emerton,1508,1647,1629,1369,1351,1363,1243,1108,983,1093,1093,1008,938,800,761,449,257,138,18738
116031314,Glendenning - Dean Park,612,698,633,582,583,606,647,660,664,533,497,488,393,318,208,126,69,98,8415
116031315,Hassall Grove - Plumpton,1437,1633,1738,1612,1722,1570,1453,1469,1394,1455,1486,1381,1203,823,552,288,184,171,21571
116031316,Lethbridge Park - Tregear,1959,2105,1856,1528,1521,1573,1594,1803,1419,1201,1184,969,840,637,674,530,306,168,21867
116031317,Mount Druitt - Whalan,1876,1900,1791,1562,1599,1646,1761,1900,1590,1352,1300,1250,1048,894,725,460,307,214,23175
116031318,Prospect Reservoir,0,0,0,0,1,5,3,1,1,3,0,0,2,0,0,0,0,0,16
116031319,Rooty Hill - Minchinbury,1587,1583,1564,1473,1606,1582,1624,1689,1550,1427,1360,1415,1252,962,869,501,346,596,22986
117011320,Banksmeadow,25,15,10,7,47,76,141,64,45,38,18,0,6,9,6,0,0,0,507
117011321,Botany,926,826,776,681,750,987,1176,1205,1001,1020,826,766,591,472,413,264,209,146,13035
117011323,Pagewood - Hillsdale - Daceyville,882,742,809,759,1219,1415,1443,1244,972,936,835,821,648,563,540,434,300,267,14829
117011324,Port Botany Industrial,0,0,1,0,0,0,0,0,0,2,0,0,3,3,0,0,0,0,9
117011325,Sydney Airport,0,0,1,5,1,3,1,3,2,0,2,1,2,0,2,0,0,0,23
117011634,Eastlakes,468,478,460,472,546,611,668,649,605,635,598,558,471,453,426,357,290,222,8967
117011635,Mascot,1142,800,609,741,2970,4188,3335,2034,1228,968,811,737,648,530,370,303,219,186,21819
117021327,Petersham - Stanmore,819,824,854,835,1595,2403,2208,1851,1522,1547,1385,1112,857,665,596,409,299,286,20067
117021328,Sydenham - Tempe - St Peters,486,401,371,278,469,874,1035,926,733,576,506,425,330,319,235,156,117,98,8335
117021636,Marrickville - North,639,565,565,421,677,1265,1492,1197,964,931,773,655,571,472,396,326,237,220,12366
117021637,Marrickville - South,613,572,637,571,985,1556,1608,1258,1012,966,946,806,714,575,482,383,316,334,14334
117031329,Darlinghurst,243,176,155,164,748,1614,1730,1217,910,728,688,642,559,404,359,225,124,90,10776
117031330,Erskineville - Alexandria,930,673,501,391,1116,2984,3356,2537,1783,1373,1087,860,661,434,321,174,115,72,19368
117031331,Glebe - Forest Lodge,818,652,563,615,1977,2629,2499,2016,1486,1296,1156,1142,1055,893,777,465,258,196,20493
117031333,Potts Point - Woolloomooloo,364,233,216,262,1050,2433,2917,2063,1421,1271,1167,1058,1070,847,786,538,330,417,18443
117031336,Surry Hills,379,277,239,220,1359,2637,2643,1840,1303,1026,996,847,661,507,386,276,225,232,16053
117031638,Camperdown - Darlington,242,196,193,826,1602,1244,961,670,529,477,409,319,274,182,144,102,43,29,8442
117031639,Chippendale,153,78,45,293,2061,1851,1279,683,415,265,219,187,162,127,79,42,13,4,7956
117031640,Newtown (NSW),531,432,487,482,1499,2275,2061,1449,1080,1050,935,809,617,453,350,181,104,98,14893
117031641,Pyrmont,622,380,320,314,757,1505,1787,1602,1109,803,699,673,642,577,504,298,155,90,12837
117031642,Redfern,474,382,316,309,1174,1963,1846,1402,1010,861,879,777,673,551,469,303,286,206,13881
117031643,Rosebery - Beaconsfield,772,372,271,361,1272,2063,2100,1457,843,600,551,439,375,279,245,174,126,108,12408
117031644,Sydney (North) - Millers Point,214,137,109,174,672,1216,1102,884,615,517,466,475,402,368,344,253,146,105,8199
117031645,Sydney (South) - Haymarket,499,300,222,500,2920,4586,4031,2538,1429,810,599,560,427,353,256,147,95,74,20346
117031646,Ultimo,228,167,92,299,1312,1509,1205,785,494,335,274,223,169,174,120,66,56,50,7558
117031647,Waterloo,678,335,271,323,1649,2948,3000,1891,1136,733,719,643,601,501,461,301,243,206,16639
117031648,Zetland,572,298,170,293,1980,2927,2523,1509,725,485,340,313,231,214,144,63,36,23,12846
118011339,Bondi - Tamarama - Bronte,1069,933,929,755,952,2413,2564,1836,1340,1227,1151,931,769,616,626,436,372,378,19297
118011340,Bondi Beach - North Bondi,1174,939,1018,790,986,2728,3413,2293,1584,1453,1158,851,736,500,571,340,244,263,21041
118011341,Bondi Junction - Waverly,925,893,901,693,951,1985,2059,1563,1360,1139,1043,835,764,647,683,507,402,516,17866
118011342,Centennial Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118011344,Dover Heights,628,738,813,677,596,602,773,848,853,960,737,662,568,508,466,331,200,224,11184
118011345,Paddington - Moore Park,701,627,610,546,979,1783,1543,1309,1069,1041,1009,855,674,572,602,456,293,258,14927
118011346,Rose Bay - Vaucluse - Watsons Bay,524,679,908,893,702,534,586,602,688,885,927,834,703,599,637,500,358,468,12027
118011347,Woollahra,387,417,375,298,370,582,599,537,494,444,470,420,370,368,446,354,260,295,7486
118011649,Bellevue Hill,683,757,892,856,802,1111,1128,1059,891,920,951,875,829,756,800,532,338,336,14516
118011650,Double Bay - Darling Point,447,376,343,308,517,943,1031,782,637,552,526,521,589,501,645,552,374,402,10046
118021564,Kensington (NSW),510,496,449,787,1808,1406,1151,915,748,633,572,541,457,353,348,291,234,276,11975
118021565,Kingsford,594,639,669,719,1748,1623,1227,989,862,838,741,696,568,515,425,328,275,319,13775
118021566,Maroubra - North,454,535,590,541,537,654,688,710,680,727,630,593,534,442,420,376,277,449,9837
118021567,Maroubra - South,624,653,596,498,541,765,1014,912,896,736,717,676,558,559,457,376,278,268,11124
118021568,Maroubra - West,550,484,504,462,746,889,942,805,730,660,591,540,505,395,360,300,236,212,9911
118021569,Randwick - North,967,893,746,570,822,1609,1899,1582,1245,1103,947,808,696,570,563,432,314,527,16293
118021570,Randwick - South,611,505,576,723,1011,1601,1434,1077,822,802,772,628,548,460,380,316,245,326,12837
118021651,Coogee - Clovelly,1062,958,936,769,992,2473,2558,1934,1504,1310,1199,1000,874,712,593,396,250,200,19720
118021652,Malabar - La Perouse,526,574,545,527,515,572,691,721,823,806,778,710,655,611,523,471,319,318,10685
118021653,Matraville - Chifley,762,899,933,845,786,634,723,859,925,1036,959,968,800,653,643,458,298,288,13469
118021654,South Coogee,301,411,424,360,310,282,271,352,361,411,456,395,313,259,264,191,142,137,5640
119011354,Bass Hill - Georges Hall,1773,1956,1915,1742,1558,1482,1464,1490,1489,1428,1376,1265,1198,983,941,768,502,636,23966
119011355,Chullora,142,108,88,93,119,147,169,157,106,74,71,72,44,48,27,6,9,0,1480
119011356,Condell Park,933,1074,1012,970,903,872,817,885,809,777,702,691,605,540,430,340,225,210,12795
119011358,Padstow,955,1004,963,1028,1096,1057,1171,1203,1042,1086,1141,1207,1138,832,710,547,438,596,17214
119011360,Revesby,1132,1140,1122,1089,1140,1141,1294,1298,1151,1146,1055,1065,1070,827,663,455,367,555,17710
119011361,Yagoona - Birrong,1716,1614,1576,1530,1658,1596,1651,1529,1271,1378,1260,1324,1300,1029,799,533,359,457,22580
119011571,Bankstown - North,1490,1193,968,896,1212,1522,1632,1453,1066,999,884,939,867,643,485,314,233,254,17050
119011572,Bankstown - South,1359,1177,1063,1060,1482,1874,1560,1402,1094,1069,980,1007,978,751,557,400,305,382,18500
119011655,Greenacre - North,1055,1079,1233,1153,1010,1025,857,902,907,862,856,835,765,667,491,384,287,330,14698
119011656,Greenacre - South,975,1189,1206,1057,987,864,782,913,827,790,747,725,670,507,449,294,256,206,13444
119011657,Panania (North) - Milperra,780,782,736,756,684,682,760,786,778,796,726,713,627,524,482,378,222,157,11369
119011658,Panania (South) - Picnic Point,938,1127,1144,1068,926,844,954,1153,1100,1171,1055,1023,966,764,684,422,326,347,16012
119021362,Belmore - Belfield,1155,1158,1177,1167,1350,1509,1505,1428,1333,1360,1394,1320,1131,900,858,626,538,496,20405
119021366,Punchbowl,1500,1566,1556,1507,1731,1857,1558,1472,1355,1233,1276,1214,1120,879,689,495,376,305,21689
119021367,Roselands,943,971,1011,941,908,977,924,976,995,965,986,900,771,616,582,445,306,368,14585
119021573,Lakemba,1648,1512,1124,800,1067,1721,1776,1496,1301,861,763,734,644,539,388,329,223,302,17228
119021574,Wiley Park,941,832,628,519,703,1096,1017,924,707,507,491,481,399,325,253,175,117,92,10207
119021659,Campsie - North,524,455,479,516,1082,1156,1120,977,794,850,843,782,672,554,375,252,235,264,11930
119021660,Campsie - South,441,391,321,318,859,967,992,824,629,558,598,588,481,388,270,188,139,155,9107
119021661,Canterbury - South,851,601,511,526,841,1205,1423,1134,789,776,711,689,579,425,365,307,250,285,12268
119021662,Earlwood,867,975,1166,1102,985,897,962,1118,1148,1461,1394,1209,1051,837,848,724,635,609,17988
119021663,Kingsgrove - North,384,421,448,368,353,286,339,422,478,433,439,372,308,295,286,246,191,197,6266
119031370,Narwee - Beverly Hills,754,731,771,701,878,1022,960,1029,869,868,869,930,830,745,626,413,372,449,13817
119031371,Oatley - Hurstville Grove,597,774,836,750,810,667,636,780,813,931,880,869,875,714,608,458,288,299,12585
119031372,Peakhurst - Lugarno,1099,1232,1268,1307,1208,1043,1172,1223,1293,1373,1334,1325,1217,982,995,828,622,740,20261
119031373,Riverwood,580,595,589,562,812,923,908,888,679,675,699,774,754,660,536,392,336,276,11638
119031374,South Hurstville - Blakehurst,1140,1368,1401,1387,2360,2264,1842,1603,1495,1529,1633,1677,1444,1194,1055,755,551,701,25399
119031664,Hurstville - Central,617,567,428,368,1593,1911,1547,1090,670,546,486,500,535,465,278,187,172,183,12143
119031665,Hurstville - North,499,607,640,709,976,968,844,813,682,725,801,881,755,667,519,393,298,346,12123
119031666,Mortdale - Oatley,820,964,875,812,908,940,957,1157,1070,1012,918,924,906,773,620,415,261,383,14715
119031667,Penshurst,527,500,384,445,768,928,893,776,594,575,512,612,560,463,355,237,191,236,9556
119041377,Kingsgrove (South) - Bardwell Park,708,742,771,765,788,734,832,861,844,970,831,881,744,670,587,481,372,410,12991
119041378,Kogarah,807,694,551,485,941,1422,1525,1346,939,746,659,598,557,425,385,322,269,446,13117
119041379,Kogarah Bay - Carlton - Allawah,846,826,882,814,1194,1339,1310,1264,1057,1002,1055,1044,945,759,639,483,353,425,16237
119041380,Monterey - Brighton-le-Sands - Kyeemagh,693,714,625,664,693,844,939,1049,1006,1017,1032,977,751,737,719,559,479,411,13909
119041381,Rockdale - Banksia,1154,876,793,751,1876,2233,2320,1910,1288,1090,1071,968,942,757,666,492,374,427,19988
119041382,Sans Souci - Ramsgate,936,899,882,857,739,871,1024,1110,1041,1192,1235,1144,1086,895,928,720,575,535,16669
119041668,Arncliffe - Bardwell Valley,1002,861,833,805,1198,1862,1983,1506,1093,967,881,860,690,589,526,381,311,303,16651
119041669,Bexley - North,631,657,694,616,653,573,659,714,636,663,620,611,575,495,428,296,270,370,10161
119041670,Bexley - South,926,849,772,736,1189,1369,1400,1229,1090,968,901,937,853,722,656,467,371,439,15874
119041671,Wolli Creek,549,203,96,182,1435,2598,2454,1333,615,351,254,228,214,153,102,62,26,6,10861
120011383,Concord - Mortlake - Cabarita,1094,1268,1368,1261,1206,1278,1506,1523,1617,1651,1606,1650,1431,1326,1228,875,669,647,23204
120011385,Drummoyne - Rodd Point,981,1023,1103,900,878,1052,1349,1306,1302,1422,1330,1234,1064,922,870,623,434,613,18406
120011386,Five Dock - Abbotsford,1247,1155,1158,969,852,1109,1466,1733,1631,1560,1470,1414,1196,1067,1010,733,578,651,20999
120011672,Concord West - North Strathfield,694,783,795,735,940,1006,1035,1052,883,945,869,765,663,534,473,341,223,191,12927
120011673,Rhodes,811,404,199,206,992,2028,2392,1610,758,425,317,378,381,332,176,91,67,62,11629
120021387,Balmain,885,882,895,703,582,782,1068,1208,1264,1313,1246,1139,961,874,808,561,261,197,15629
120021389,Lilyfield - Rozelle,904,840,769,605,557,839,1060,1243,1245,1191,1070,930,696,640,531,354,196,199,13869
120021674,Annandale (NSW),502,557,482,406,560,803,877,808,776,758,682,559,490,402,390,203,128,133,9516
120021675,Leichhardt,1192,1167,1045,773,938,1289,1478,1646,1534,1475,1200,948,780,685,582,364,242,292,17630
120031392,Canterbury (North) - Ashbury,602,603,637,590,765,1081,1159,1070,845,793,758,782,594,507,455,326,259,223,12049
120031393,Croydon Park - Enfield,913,987,1029,1017,1016,1114,1144,1202,1110,1271,1261,1149,988,851,792,575,495,545,17459
120031394,Dulwich Hill - Lewisham,878,807,861,751,1088,1904,1997,1765,1377,1314,1169,1032,878,652,552,415,309,300,18049
120031395,Haberfield - Summer Hill,618,671,769,710,841,1059,1077,1012,874,1039,961,928,733,606,575,354,306,420,13553
120031396,Homebush,1366,1066,760,676,2189,3543,3418,2436,1278,903,714,748,647,514,280,196,161,128,21023
120031576,Strathfield South,194,262,224,184,230,268,283,286,271,245,230,229,217,168,136,99,58,64,3648
120031676,Ashfield - North,535,462,405,353,1065,1433,1370,1068,764,693,577,609,530,485,405,274,238,242,11508
120031677,Ashfield - South,516,484,444,449,993,1359,1268,999,787,667,683,717,616,515,450,400,349,578,12274
120031678,Burwood (NSW),590,471,427,549,2588,2682,2125,1296,767,746,724,695,648,509,413,268,239,311,16048
120031679,Croydon,461,529,638,609,795,786,797,689,690,785,690,769,703,539,472,345,302,398,10997
120031680,Strathfield - East,473,483,484,645,3279,2833,1905,1122,732,654,650,730,642,503,420,365,279,384,16583
120031681,Strathfield - West,366,509,581,617,715,642,598,543,480,557,641,676,600,500,425,310,234,298,9292
121011399,Chatswood (West) - Lane Cove North,1309,1316,1216,950,1139,1711,2007,2146,1850,1525,1306,1112,940,903,740,473,370,412,21425
121011401,St Leonards - Naremburn,765,607,451,338,562,1271,1613,1508,1116,832,617,594,497,428,363,202,124,98,11986
121011682,Artarmon,534,765,599,392,491,677,821,1058,883,680,540,443,417,383,297,201,132,156,9469
121011683,Castle Cove - Northbridge,528,959,1228,1077,693,345,348,564,920,1097,1140,1024,844,692,700,487,347,475,13468
121011684,Chatswood - East,1017,1205,1135,974,1255,1619,1749,1954,1702,1414,1047,886,846,757,757,525,389,539,19770
121011685,Greenwich - Riverview,585,792,953,892,772,750,737,805,830,983,984,880,768,653,589,443,290,274,12980
121011686,Lane Cove,1090,1156,909,774,708,984,1416,1607,1386,1109,909,827,694,612,608,472,302,368,15931
121011687,Willoughby,779,1050,1015,847,595,491,593,965,1101,1108,962,813,645,545,502,367,275,371,13024
121021403,Asquith - Mount Colah,1363,1586,1655,1437,1221,1072,1381,1733,1810,1779,1489,1410,1273,985,808,538,339,255,22134
121021404,Berowra - Brooklyn - Cowan,645,868,941,864,629,354,461,720,853,1046,904,862,728,608,546,424,202,138,11793
121021406,Normanhurst - Thornleigh - Westleigh,1003,1392,1528,1340,1092,679,818,1303,1409,1573,1440,1237,1036,882,802,661,494,510,19199
121021577,Hornsby - East,778,614,516,429,828,1131,1312,1197,1061,790,681,595,592,473,397,244,190,170,11998
121021578,Hornsby - West,585,795,755,643,539,455,545,815,925,800,760,644,592,542,489,323,200,246,10653
121021579,Wahroonga (West) - Waitara,798,940,652,461,466,645,973,1513,1091,737,593,468,478,475,414,349,321,515,11889
121031407,Gordon - Killara,913,1355,1776,1721,1462,1094,1154,1422,1583,1742,1686,1484,1274,1101,954,734,522,615,22592
121031408,Lindfield - Roseville,1211,1840,2043,1771,1404,1071,1126,1604,1837,1868,1840,1581,1333,1149,1113,802,544,617,24754
121031409,Pymble,831,1300,1452,1322,1024,636,680,1087,1273,1299,1379,1242,1004,785,766,513,312,357,17262
121031410,St Ives,1051,1717,1853,1404,1047,547,744,1359,1649,1686,1546,1432,1191,1129,997,946,719,756,21773
121031411,Turramurra,953,1346,1509,1424,1046,630,709,1154,1354,1500,1501,1371,1065,952,988,930,779,1110,20321
121031412,Wahroonga (East) - Warrawee,794,1221,1454,1518,1069,565,621,1041,1244,1398,1461,1220,1084,829,866,723,498,638,18244
121041413,Cremorne - Cammeray,1073,1032,952,741,781,1303,1702,1640,1459,1384,1306,1160,1026,1012,985,695,412,326,18989
121041414,Crows Nest - Waverton,989,771,617,504,955,1883,2193,1960,1539,1225,1092,846,886,760,750,528,299,239,18036
121041416,Neutral Bay - Kirribilli,738,630,538,497,943,1836,2043,1541,1292,1060,989,966,953,847,813,677,479,499,17341
121041417,North Sydney - Lavender Bay,516,383,328,396,677,1373,1731,1375,916,768,742,775,665,556,569,432,255,121,12578
121041688,Mosman - North,576,715,844,735,620,682,834,928,869,979,975,965,855,769,795,688,481,510,13820
121041689,Mosman - South,686,842,1036,891,738,667,843,907,964,1142,1146,994,902,754,750,635,356,388,14641
122011418,Balgowlah - Clontarf - Seaforth,1168,1563,1841,1516,1039,734,810,1159,1510,1870,1720,1566,1111,873,838,675,431,429,20853
122011419,Manly - Fairlight,1271,1033,987,904,1047,2031,2618,2139,1683,1498,1411,1383,1254,934,893,731,447,464,22728
122021420,Avalon - Palm Beach,568,839,885,849,638,405,426,593,741,927,912,1032,1074,947,882,644,348,368,13078
122021421,Bayview - Elanora Heights,484,695,764,765,537,367,341,510,620,806,856,864,781,702,690,608,458,409,11257
122021422,Newport - Bilgola,649,747,974,881,727,575,623,672,757,1004,1083,1150,1083,893,768,588,305,220,13699
122021690,Mona Vale - Warriewood (North),728,854,1066,849,775,567,637,771,942,1110,945,945,858,847,816,707,549,661,14627
122021691,North Narrabeen - Warriewood (South),702,822,849,763,527,476,595,679,839,891,817,716,627,500,455,287,200,151,10896
122031424,Beacon Hill - Narraweena,858,957,1092,962,891,624,662,894,973,1145,1075,1012,844,652,575,511,398,424,14549
122031425,Cromer,492,562,608,581,403,291,345,470,569,662,581,473,398,330,413,351,274,249,8052
122031427,Forestville - Killarney Heights,644,927,1260,1028,715,353,388,677,944,1157,1042,899,655,522,503,519,447,479,13159
122031429,Freshwater - Brookvale,1347,1253,1385,1198,1096,1670,2197,1852,1676,1709,1596,1284,1083,871,658,463,325,346,22009
122031430,Manly Vale - Allambie Heights,1017,1338,1522,1072,829,805,962,1137,1477,1509,1374,1007,828,688,656,493,367,535,17616
122031432,Terrey Hills - Duffys Forest,154,246,280,261,217,132,116,170,213,297,313,277,255,212,227,197,95,136,3798
122031692,Belrose,390,553,692,619,457,244,227,399,572,691,661,538,380,375,493,524,400,453,8668
122031693,Collaroy - Collaroy Plateau,775,842,900,966,833,755,853,900,926,1066,1074,937,834,662,573,438,294,354,13982
122031694,Dee Why (South) - North Curl Curl,535,554,656,601,600,609,662,649,616,724,726,641,492,340,279,199,133,132,9148
122031695,Dee Why - North,1137,813,672,628,1141,1819,2159,1902,1442,1205,1074,985,853,666,504,377,285,252,17914
122031696,Frenchs Forest - Oxford Falls,958,1329,1502,1331,940,594,626,1002,1254,1564,1375,1113,818,732,734,662,393,271,17198
122031697,Narrabeen - Wheeler Heights,596,547,567,534,543,590,705,736,709,745,725,687,589,557,579,517,504,820,11250
123011433,Camden - Ellis Lane,743,892,991,815,681,631,694,816,841,882,850,700,769,704,739,535,431,621,13335
123011698,Currans Hill,657,547,517,425,402,579,614,523,434,466,339,312,245,168,124,83,37,20,6492
123011699,Elderslie - Narellan,1161,1164,1073,982,824,901,1063,1096,950,941,810,745,656,565,480,333,197,139,14080
123011700,Harrington Park,717,923,1076,1000,806,464,547,786,873,1136,828,600,516,362,300,158,129,58,11279
123011701,Mount Annan,1332,1533,1602,1535,1325,1124,1200,1361,1394,1509,1372,1204,880,663,545,316,151,100,19146
