FID,state,division_id,division_name,polling_place_id,polling_place_type_id,polling_place_name,premises_name,premises_address_1,premises_address_2,premises_address_3,premises_suburb,premises_state_abbreviation,premises_post_code,latitude,longitude,the_geom
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-30b2,NSW,113,Cowper,65186,2,Special Hospital Team 5,Multiple sites,,,,,NSW,,,,
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-308c,NSW,111,Chifley,392,1,Dharruk,Dawson Public School,7 Stuart Rd,,,DHARRUK,NSW,2770,-33.7475,150.817,POINT (-33.7475 150.817)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3069,NSW,103,Banks,31,1,Allawah,PJ Ferry Reserve Community Hall,147B Bellevue Pde,,,ALLAWAH,NSW,2218,-33.9767897,151.1148974,POINT (-33.9767897 151.1148974)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3068,NSW,103,Banks,67,1,Allawah South,St Raphael's Church Hall,84 George St,,,SOUTH HURSTVILLE,NSW,2221,-33.9756,151.111,POINT (-33.9756 151.111)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3067,NSW,103,Banks,56500,1,Beverly Hills North (Banks),Beverly Hills North Public School,1-3 Shorter Ave,,,BEVERLY HILLS,NSW,2209,-33.9413,151.075,POINT (-33.9413 151.075)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3066,NSW,103,Banks,79612,1,Beverly Hills South (Banks),Beverly Hills Public School,562 King Georges Rd,,,BEVERLY HILLS,NSW,2209,-33.9528,151.085,POINT (-33.9528 151.085)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3065,NSW,103,Banks,46,1,Blakehurst North,Blakehurst High School,270A Woniora Rd,,,BLAKEHURST,NSW,2221,-33.9814,151.113,POINT (-33.9814 151.113)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3064,NSW,103,Banks,65425,5,BLV Banks PPVC,BLV Banks,"Level 1, 145 Forest Rd",,,HURSTVILLE,NSW,2220,-33.9674459,151.1065776,POINT (-33.9674459 151.1065776)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3063,NSW,103,Banks,56472,1,Carlton South (Banks),Carlton South Public School,67 Jubilee Ave,,,CARLTON,NSW,2218,-33.9727,151.128,POINT (-33.9727 151.128)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3062,NSW,103,Banks,65,1,Carlton West,St Cuthbert's Church Hall,34 Park Rd,,,CARLTON,NSW,2218,-33.9763447,151.1206652,POINT (-33.9763447 151.1206652)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3061,NSW,103,Banks,42,1,Connells Point (Banks),Connells Point Public School,Riverview Ave,,,CONNELLS POINT,NSW,2221,-33.9855,151.1,POINT (-33.9855 151.1)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3060,NSW,103,Banks,30094,5,Divisional Office (PREPOLL),Divisional Office,Level 1,145 Forest Road,,HURSTVILLE,NSW,2220,-33.9676291,151.1064478,POINT (-33.9676291 151.1064478)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-305f,NSW,103,Banks,2,1,East Hills,1st East Hills Scout Hall,629 Henry Lawson Dr,,,EAST HILLS,NSW,2213,-33.9611817,150.982054,POINT (-33.9611817 150.982054)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-305e,NSW,103,Banks,79613,1,Hurstville (Banks),Hurstville Senior Citizens Centre,91 Queens Rd,,,HURSTVILLE,NSW,2220,-33.9642,151.102,POINT (-33.9642 151.102)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-305d,NSW,103,Banks,34046,5,Hurstville BANKS PPVC,"Level 1, 8 Woodville St",,,,HURSTVILLE,NSW,2220,-33.9663791,151.1068363,POINT (-33.9663791 151.1068363)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-305c,NSW,103,Banks,79614,1,Hurstville East (Banks),Hurstville Public School,72 Forest Rd,,,HURSTVILLE,NSW,2220,-33.9641,151.111,POINT (-33.9641 151.111)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-305b,NSW,103,Banks,45,1,Hurstville Grove,Hurstville Grove Infants School,81 Lansdowne St,,,PENSHURST,NSW,2222,-33.9729154,151.0909386,POINT (-33.9729154 151.0909386)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-305a,NSW,103,Banks,43,1,Hurstville South,Hurstville South Public School,38-48 Maher St,,,HURSTVILLE,NSW,2220,-33.9726,151.099,POINT (-33.9726 151.099)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3059,NSW,103,Banks,4,1,Lugarno,Lugarno Public School,38 Old Forest Rd,,,LUGARNO,NSW,2210,-33.985015,151.0454806,POINT (-33.985015 151.0454806)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3058,NSW,103,Banks,55,1,Mortdale Central,Mortdale Community Centre,2B Boundary Rd,,,MORTDALE,NSW,2223,-33.9748397,151.0781603,POINT (-33.9748397 151.0781603)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3057,NSW,103,Banks,56,1,Mortdale East,Mortdale Public School,Coleborne Ave,,,MORTDALE,NSW,2223,-33.9727,151.081,POINT (-33.9727 151.081)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3056,NSW,103,Banks,5,1,Mortdale West,Penshurst West Public School,Scott St,,,MORTDALE,NSW,2223,-33.9615619,151.0731878,POINT (-33.9615619 151.0731878)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3055,NSW,103,Banks,6,1,Narwee,Narwee Public School,61-65 Broad Arrow Rd,,,NARWEE,NSW,2209,-33.9482,151.069,POINT (-33.9482 151.069)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3054,NSW,103,Banks,83630,1,Oatley East,Oatley Anglican Church Hall,57 Rosa St,,,OATLEY,NSW,2223,-33.9841934,151.082371,POINT (-33.9841934 151.082371)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3053,NSW,103,Banks,59,1,Oatley West,Oatley West Public School,Oatley Park Ave,,,OATLEY,NSW,2223,-33.9796,151.065,POINT (-33.9796 151.065)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3052,NSW,103,Banks,7,1,Padstow,Padstow Park Public School,Segers Ave,,,PADSTOW,NSW,2211,-33.9542,151.031,POINT (-33.9542 151.031)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3051,NSW,103,Banks,83624,1,Padstow Central,Padstow Congregational Church Hall,59 Faraday Rd,,,PADSTOW,NSW,2211,-33.95572,151.031707,POINT (-33.95572 151.031707)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3050,NSW,103,Banks,8,1,Padstow East,Padstow Senior Citizens Centre,17 Cahors Rd,,,PADSTOW,NSW,2211,-33.949,151.03,POINT (-33.949 151.03)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-304f,NSW,103,Banks,58722,5,Padstow PPVC,Padstow TAFE,Block C Dining Room,Raine Rd,,PADSTOW,NSW,2211,-33.9480237,151.0259414,POINT (-33.9480237 151.0259414)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-304e,NSW,103,Banks,10,1,Padstow South,Padstow Heights Public School,94 Chamberlain Rd,,,PADSTOW HEIGHTS,NSW,2211,-33.9664348,151.0305364,POINT (-33.9664348 151.0305364)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-304d,NSW,103,Banks,11,1,Panania,Panania Senior Citizens Centre,77 Anderson Ave,,,PANANIA,NSW,2213,-33.9551,150.999,POINT (-33.9551 150.999)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-304c,NSW,103,Banks,12,1,Panania Central,2nd Panania Scouts Hall,21 Wilson St,,,PANANIA,NSW,2213,-33.9519,150.998,POINT (-33.9519 150.998)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-304b,NSW,103,Banks,13,1,Panania North,Panania North Public School,202-204 Bransgrove Rd,,,PANANIA,NSW,2213,-33.9451,150.999,POINT (-33.9451 150.999)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-304a,NSW,103,Banks,14,1,Panania South,Panania Public School,21A Lawler St,,,PANANIA,NSW,2213,-33.9661,151,POINT (-33.9661 151)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3049,NSW,103,Banks,16,1,Peakhurst East,Peakhurst Public School,65A Bonds Rd,,,PEAKHURST,NSW,2210,-33.9553,151.061,POINT (-33.9553 151.061)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3048,NSW,103,Banks,17,1,Peakhurst South,Peakhurst South Public School,45 Pindari Rd,,,PEAKHURST HEIGHTS,NSW,2210,-33.9728147,151.0555257,POINT (-33.9728147 151.0555257)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3047,NSW,103,Banks,18,1,Peakhurst West,Peakhurst West Public School,Ogilvy St,,,PEAKHURST,NSW,2210,-33.9616492,151.0489593,POINT (-33.9616492 151.0489593)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3046,NSW,103,Banks,19,1,Penshurst,Wesley Penshurst Uniting Church Hall,96 Penshurst St,,,PENSHURST,NSW,2222,-33.962239,151.086054,POINT (-33.962239 151.086054)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3045,NSW,103,Banks,60,1,Penshurst Central,Penshurst Girls Campus,2 Austral St,,,PENSHURST,NSW,2222,-33.9641,151.087,POINT (-33.9641 151.087)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3044,NSW,103,Banks,22,1,Picnic Point North,Picnic Point High School,61 Kennedy St,,,PICNIC POINT,NSW,2213,-33.9649,151.01,POINT (-33.9649 151.01)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3043,NSW,103,Banks,83635,1,Picnic Point South,1st Picnic Point Scout Hall,23 Carinya Rd,,,PICNIC POINT,NSW,2213,-33.9804039,150.9967331,POINT (-33.9804039 150.9967331)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3042,NSW,103,Banks,57281,1,Revesby,Revesby YMCA,184 The River Rd,,,REVESBY,NSW,2212,-33.9542157,151.0166996,POINT (-33.9542157 151.0166996)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3041,NSW,103,Banks,25,1,Revesby North (Banks),Revesby Public School,67 Victoria St,,,REVESBY,NSW,2212,-33.9447,151.017,POINT (-33.9447 151.017)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3040,NSW,103,Banks,26,1,Revesby South,Revesby South Public School,Mars St,,,REVESBY,NSW,2212,-33.9605,151.017,POINT (-33.9605 151.017)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-303f,NSW,103,Banks,3,1,Riverwood East (Banks),Hannans Road Public School,32 Hannans Rd,,,RIVERWOOD,NSW,2210,-33.9459,151.058,POINT (-33.9459 151.058)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-303e,NSW,103,Banks,27,1,Riverwood North,Riverwood Public School,11 Union St,,,RIVERWOOD,NSW,2210,-33.9476795,151.047088,POINT (-33.9476795 151.047088)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-303d,NSW,103,Banks,28,1,Riverwood South,St Andrew's Church Hall,9 Littleton St,,,RIVERWOOD,NSW,2210,-33.9524734,151.0532173,POINT (-33.9524734 151.0532173)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-303c,NSW,103,Banks,33594,2,Special Hospital Team 1,Multiple sites,,,,,NSW,,,,
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-303b,NSW,103,Banks,14011,1,Sydney (Banks),Sydney Town Hall,George St,,,SYDNEY,NSW,2000,-33.8730501,151.2064528,POINT (-33.8730501 151.2064528)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-303a,NSW,103,Banks,97610,5,Sydney BANKS PPVC,Royal Exchange Building,9/56 Pitt St,,,SYDNEY,NSW,2000,-33.8638565,151.2092587,POINT (-33.8638565 151.2092587)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3039,NSW,104,Barton,32,1,Arncliffe,Arncliffe Community Centre Coronation Hall,23 Barden St,,,ARNCLIFFE,NSW,2205,-33.938,151.144,POINT (-33.938 151.144)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3038,NSW,104,Barton,34,1,Arncliffe Central,Arncliffe Public School,168 Princes Hwy,,,ARNCLIFFE,NSW,2205,-33.9406,151.147,POINT (-33.9406 151.147)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3037,NSW,104,Barton,83610,1,Arncliffe North,Bayside Anglican Church,54 Forest Rd,,,ARNCLIFFE,NSW,2205,-33.939642,151.143493,POINT (-33.939642 151.143493)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3036,NSW,104,Barton,2642,1,Arncliffe West,Athelstane Public School,2 Athelstane Ave,,,ARNCLIFFE,NSW,2205,-33.9374,151.138,POINT (-33.9374 151.138)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3035,NSW,104,Barton,2643,1,Bardwell Park,Bardwell Park Infants School,4 Crewe Lane,,,BARDWELL PARK,NSW,2207,-33.9338,151.125,POINT (-33.9338 151.125)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3034,NSW,104,Barton,65982,5,Belmore BARTON PPVC,Belmore Church of Christ,476 Burwood Rd,,,BELMORE,NSW,2192,-33.913395,151.104419,POINT (-33.913395 151.104419)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3033,NSW,104,Barton,2645,1,Beverly Hills,St Bede's Anglican Church Hall,119 Morgan St,,,BEVERLY HILLS,NSW,2209,-33.9492,151.083,POINT (-33.9492 151.083)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3032,NSW,104,Barton,2670,1,Beverly Hills Central,Beverly Hills Uniting Church Hall,82 Ponyara Rd,,,BEVERLY HILLS,NSW,2209,-33.947,151.079,POINT (-33.947 151.079)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3031,NSW,104,Barton,2646,1,Beverly Hills South (Barton),Beverly Hills Public School,562 King Georges Rd,,,BEVERLY HILLS,NSW,2209,-33.9528,151.085,POINT (-33.9528 151.085)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3030,NSW,104,Barton,2647,1,Bexley,Bexley Baptist Church,484 Forest Rd,,,BEXLEY,NSW,2207,-33.9515,151.125,POINT (-33.9515 151.125)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-302f,NSW,104,Barton,2640,1,Bexley East,Bexley Public School,330-354 Forest Rd,,,BEXLEY,NSW,2207,-33.9467,151.128,POINT (-33.9467 151.128)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-302e,NSW,104,Barton,2649,1,Bexley North,Bexley North Public School,116 Kingsland Rd,,,BEXLEY NORTH,NSW,2207,-33.9407,151.121,POINT (-33.9407 151.121)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-302d,NSW,104,Barton,2662,1,Bexley North Park,Kingsgrove/Bexley North Community Centre,54A Shaw St,,,BEXLEY NORTH,NSW,2207,-33.9383,151.109,POINT (-33.9383 151.109)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-302c,NSW,104,Barton,83607,1,Bexley South,Sydney Technical High School,686 Forest Rd,,,BEXLEY,NSW,2207,-33.9625,151.113,POINT (-33.9625 151.113)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-302b,NSW,104,Barton,2650,1,Bexley West,Bexley West Uniting Church Hall,80A St Georges Rd,,,BEXLEY,NSW,2207,-33.9522,151.114,POINT (-33.9522 151.114)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-302a,NSW,104,Barton,65449,5,BLV Barton PPVC,BLV Barton,"Lvl 2, 21 King St",,,ROCKDALE,NSW,2216,-33.9527866,151.1392016,POINT (-33.9527866 151.1392016)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3029,NSW,104,Barton,38,1,Brighton-Le-Sands (Barton),Brighton-Le-Sands Public School,35 Crawford Rd,,,BRIGHTON-LE-SANDS,NSW,2216,-33.9627,151.148,POINT (-33.9627 151.148)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3028,NSW,104,Barton,83605,1,Brighton North,St Mark's Anglican Church Hall,3 Trafalgar St,,,BRIGHTON-LE-SANDS,NSW,2216,-33.9605,151.154,POINT (-33.9605 151.154)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3027,NSW,104,Barton,2652,1,Canterbury South,Canterbury South Public School,20 High St,,,CANTERBURY,NSW,2193,-33.9175,151.116,POINT (-33.9175 151.116)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3026,NSW,104,Barton,2653,1,Carlton,Carlton Public School,60 Cameron St,,,BEXLEY,NSW,2207,-33.9624,151.124,POINT (-33.9624 151.124)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3025,NSW,104,Barton,47,1,Carlton South (Barton),Carlton South Public School,67 Jubilee Ave,,,CARLTON,NSW,2218,-33.9727,151.128,POINT (-33.9727 151.128)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3024,NSW,104,Barton,97585,5,Central Sydney BARTON PPVC,Central Railway Station,Cnr of Eddy Ave & Pitt St,Ground Floor,Former Coach Terminal,HAYMARKET,NSW,2000,-33.8824351,151.2063239,POINT (-33.8824351 151.2063239)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3023,NSW,104,Barton,2656,1,Clemton Park,Clemton Park Public School,185 Bexley Rd,,,KINGSGROVE,NSW,2208,-33.92951,151.10897,POINT (-33.92951 151.10897)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3022,NSW,104,Barton,83606,1,Clemton Park West,Clemton Park Baptist Church,9 Shackel Ave,,,KINGSGROVE,NSW,2208,-33.9303611,151.099589,POINT (-33.9303611 151.099589)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3021,NSW,104,Barton,30095,5,Divisional Office (PREPOLL),Divisional Office,Level 2,21 King St,,ROCKDALE,NSW,2216,-33.9529008,151.1391306,POINT (-33.9529008 151.1391306)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3020,NSW,104,Barton,83609,1,Earlwood,Earlwood Uniting Church Hall,16 William Street,,,EARLWOOD,NSW,2206,-33.9274,151.123,POINT (-33.9274 151.123)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-301f,NSW,104,Barton,2660,1,Earlwood Central,Our Lady of Lourdes Church Hall,St James Ave,,,EARLWOOD,NSW,2206,-33.9281,151.127,POINT (-33.9281 151.127)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-301e,NSW,104,Barton,2661,1,Earlwood South,Earlwood Public School,396 Homer St,,,EARLWOOD,NSW,2206,-33.9283,151.124,POINT (-33.9283 151.124)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-301d,NSW,104,Barton,79724,1,Hurlstone Park (Barton),Creative Dance Co,67 Duntroon St,,,HURLSTONE PARK,NSW,2193,-33.908507,151.132444,POINT (-33.908507 151.132444)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-301c,NSW,104,Barton,2663,1,Hurstville (Barton),Hurstville Senior Citizens Centre,91 Queens Rd,,,HURSTVILLE,NSW,2220,-33.9642,151.102,POINT (-33.9642 151.102)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-301b,NSW,104,Barton,65171,5,Hurstville BARTON PPVC,"Level 1, 8 Woodville St",,,,HURSTVILLE,NSW,2220,-33.9649241,151.1031761,POINT (-33.9649241 151.1031761)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-301a,NSW,104,Barton,2664,1,Hurstville East (Barton),Hurstville Public School,72 Forest Rd,,,HURSTVILLE,NSW,2220,-33.9641,151.111,POINT (-33.9641 151.111)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3019,NSW,104,Barton,2665,1,Hurstville North,Kingsway Scout Hall,74 Barnards Ave,,,HURSTVILLE,NSW,2220,-33.9544,151.096,POINT (-33.9544 151.096)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3018,NSW,104,Barton,2666,1,Kingsgrove,South-West Evangelical Church Hall,4 Morgan St,,,KINGSGROVE,NSW,2208,-33.9401,151.103,POINT (-33.9401 151.103)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3017,NSW,104,Barton,79715,1,Kingsgrove North (Barton),Kingsgrove North High School,2 St Albans Rd,,,KINGSGROVE,NSW,2208,-33.93385,151.09621,POINT (-33.93385 151.09621)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3016,NSW,104,Barton,2667,1,Kingsgrove South,Kingsgrove High School,Kingsgrove Rd,,,KINGSGROVE,NSW,2208,-33.9494,151.102,POINT (-33.9494 151.102)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3015,NSW,104,Barton,50,1,Kogarah Central,Kogarah High School,22A Gladstone St,,,KOGARAH,NSW,2217,-33.9616,151.136,POINT (-33.9616 151.136)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3014,NSW,104,Barton,51,1,Kyeemagh,Kyeemagh Public School,cnr Jacobson Ave & Beehag St,,,KYEEMAGH,NSW,2216,-33.9497,151.161,POINT (-33.9497 151.161)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3013,NSW,104,Barton,65249,5,Marrickville BARTON PPVC,Marrickville Town Hall,303 Marrickville Rd,,,MARRICKVILLE,NSW,2204,-33.913688,151.161852,POINT (-33.913688 151.161852)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3012,NSW,104,Barton,1016,1,Marrickville Park,Marrickville Uniting Church,388 Illawarra Rd,,,MARRICKVILLE,NSW,2204,-33.9154803,151.1503777,POINT (-33.9154803 151.1503777)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3011,NSW,104,Barton,1010,1,Marrickville South,Ferncourt Public School,74 Premier St,,,MARRICKVILLE,NSW,2204,-33.9207,151.152,POINT (-33.9207 151.152)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3010,NSW,104,Barton,1011,1,Marrickville West,Marrickville West Public School,cnr Beauchamp St & Livingstone Rd,,,MARRICKVILLE,NSW,2204,-33.9144,151.146,POINT (-33.9144 151.146)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-300f,NSW,104,Barton,62,1,Rockdale,Rockdale Public School,4 Lord St,,,ROCKDALE,NSW,2216,-33.9527,151.142,POINT (-33.9527 151.142)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-300e,NSW,104,Barton,33869,5,Rockdale BARTON PPVC,"Ground Level, 81 Railway St",,,,ROCKDALE,NSW,2216,-33.9512665,151.1364055,POINT (-33.9512665 151.1364055)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-300d,NSW,104,Barton,63,1,Rockdale Central,Rockdale Uniting Church Hall,5 Bay St,,,ROCKDALE,NSW,2216,-33.9537,151.139,POINT (-33.9537 151.139)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-300c,NSW,104,Barton,83616,1,Rockdale City,Rockdale Harvest Church of Christ,3-5 Bryant St,,,ROCKDALE,NSW,2216,-33.9505248,151.139653,POINT (-33.9505248 151.139653)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-300b,NSW,104,Barton,2671,1,Rockdale West,St Joseph's Parish Centre,13 Parker St,,,ROCKDALE,NSW,2216,-33.9504,151.136,POINT (-33.9504 151.136)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-300a,NSW,104,Barton,14014,1,Sydney (Barton),Sydney Town Hall,George St,,,SYDNEY,NSW,2000,-33.8730501,151.2064528,POINT (-33.8730501 151.2064528)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3009,NSW,104,Barton,97609,5,Sydney BARTON PPVC,Royal Exchange Building,9/56 Pitt St,,,SYDNEY,NSW,2000,-33.8638565,151.2092587,POINT (-33.8638565 151.2092587)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3008,NSW,104,Barton,1470,1,Tempe,Tempe High School,119 Unwins Bridge Rd,,,TEMPE,NSW,2044,-33.919948,151.1610947,POINT (-33.919948 151.1610947)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3007,NSW,104,Barton,2641,1,Turrella,Arncliffe West Infants School,7 Loftus St,,,TURRELLA,NSW,2205,-33.931874,151.1452122,POINT (-33.931874 151.1452122)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3006,NSW,104,Barton,2673,1,Undercliffe,Undercliffe Public School,143 Bayview Ave,,,EARLWOOD,NSW,2206,-33.9244,151.139,POINT (-33.9244 151.139)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3005,NSW,105,Bennelong,65453,5,BLV Bennelong PPVC,BLV Bennelong,"Level 12, 67 Albert Ave",,,CHATSWOOD,NSW,2067,-33.7981824,151.1818539,POINT (-33.7981824 151.1818539)
